date,hour,minute,hours decimal,average value
26/09/2019,10,42,10.7,8.379132400643261
26/09/2019,10,43,10.716666666666667,8.300460423165708
26/09/2019,10,44,10.733333333333333,8.34297613909637
26/09/2019,10,45,10.75,8.36600679459213
26/09/2019,10,47,10.783333333333333,8.519676983352731
26/09/2019,10,48,10.8,8.346072503054966
26/09/2019,10,49,10.816666666666666,8.443715062072263
26/09/2019,10,50,10.833333333333334,8.456247266807853
26/09/2019,10,51,10.85,8.483288193186688
26/09/2019,10,52,10.866666666666667,8.296815533496515
